Unnamed: 0,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg)
164,ampas kelapa,1481,3.3,33.5,15.2,9.0,0.4,0.0,0.0,1.0,0.07,0.02,0.05,26,3.0,20,356,14,32.0,113,2.4,1.1
165,anggur hutan,126,0.1,0.2,7.7,1.4,0.1,0.0,3.0,1.0,0.01,0.01,0.03,2,3.0,0,58,4,3.0,4,0.1,0.0
166,apel,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
167,arbei,218,0.7,0.4,12.8,5.0,0.2,0.0,16.0,1.0,0.03,0.04,0.06,34,21.0,0,196,32,20.0,21,0.6,0.3
168,asam mangga,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
169,asam masak di pohon,1067,2.7,0.4,67.2,3.4,0.1,0.0,1.0,1.0,0.14,0.08,0.21,3,3.0,10,638,42,28.0,82,1.8,0.3
170,belimbing,134,0.6,0.4,7.2,0.5,0.0,0.0,37.0,0.0,0.08,0.02,0.14,2,10.0,2,116,8,11.0,9,0.2,0.1
171,belimbing wuluh,134,0.6,0.4,7.2,0.5,0.0,0.0,37.0,0.0,0.08,0.02,0.14,2,10.0,2,116,8,11.0,9,0.2,0.1
172,buah pisang susu,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
173,bungkil kelapa,1552,1.7,16.8,57.6,4.5,0.2,0.0,0.0,1.0,0.04,0.02,0.03,13,2.0,11,179,8,16.0,58,1.3,0.6
174,cempedak,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
175,cerme,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
176,cimplukan,126,0.1,0.2,7.7,1.4,0.1,0.0,3.0,1.0,0.01,0.01,0.03,2,3.0,0,58,4,3.0,4,0.1,0.0
177,cipleng / jeblokan,126,0.1,0.2,7.7,1.4,0.1,0.0,3.0,1.0,0.01,0.01,0.03,2,3.0,0,58,4,3.0,4,0.1,0.0
178,duku,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
179,durian,410,0.8,0.8,24.8,2.4,0.2,0.0,4.0,0.0,0.18,0.08,0.18,22,30.0,2,226,14,28.0,14,0.8,0.2
180,duwet,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
181,gori / nangka muda mentah,184,1.4,0.2,10.2,1.4,0.1,0.0,0.0,0.0,0.04,0.02,0.13,15,5.0,3,166,22,11.0,35,0.2,0.2
182,jambu air,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
183,jambu biji,213,0.8,0.6,11.9,5.4,0.3,0.0,79.0,1.0,0.05,0.05,0.14,14,184.0,3,284,20,10.0,25,0.3,0.2
184,jambu bol,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
185,jambu monyet buah,213,0.8,0.6,11.9,5.4,0.3,0.0,79.0,1.0,0.05,0.05,0.14,14,184.0,3,284,20,10.0,25,0.3,0.2
186,jantung pisang,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
187,jeruk bali,121,1.1,0.3,9.3,2.8,0.1,0.0,3.0,0.0,0.04,0.02,0.08,11,53.0,2,138,26,8.0,16,0.6,0.1
188,jeruk garut,197,0.9,0.1,11.8,2.4,0.0,0.0,8.0,0.0,0.09,0.04,0.06,30,53.0,0,181,40,10.0,14,0.1,0.1
189,jeruk manis,197,0.9,0.1,11.8,2.4,0.0,0.0,8.0,0.0,0.09,0.04,0.06,30,53.0,0,181,40,10.0,14,0.1,0.1
190,jeruk nipis,121,1.1,0.3,9.3,2.8,0.1,0.0,3.0,0.0,0.04,0.02,0.08,11,53.0,2,138,26,8.0,16,0.6,0.1
191,jus alpukat,331,0.5,3.8,11.8,1.5,0.5,0.0,2.0,0.0,0.03,0.03,0.07,16,2.0,3,150,3,10.0,10,0.3,0.1
192,jus tomat,92,0.5,0.2,5.3,0.6,0.1,0.0,44.0,0.0,0.03,0.03,0.04,8,10.0,5,111,3,6.0,12,0.3,0.1
193,kasreng,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
194,kedondong masak,134,0.6,0.4,7.2,0.5,0.0,0.0,37.0,0.0,0.08,0.02,0.14,2,10.0,2,116,8,11.0,9,0.2,0.1
195,kedondong muda,134,0.6,0.4,7.2,0.5,0.0,0.0,37.0,0.0,0.08,0.02,0.14,2,10.0,2,116,8,11.0,9,0.2,0.1
196,kelapa 1/2 tua daging,741,1.7,16.8,7.6,4.5,0.2,0.0,0.0,1.0,0.04,0.01,0.03,13,2.0,10,178,7,16.0,57,1.2,0.6
197,kelapa ampas,146,0.3,3.4,1.5,0.9,0.0,0.0,0.0,0.0,0.01,0.0,0.01,3,0.0,2,36,1,3.0,11,0.2,0.1
198,kelapa muda air,75,0.1,0.3,3.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,16,50,0.0,16,0.1,0.0
199,kelapa muda daging,293,0.5,3.4,10.0,0.9,0.0,0.0,0.0,0.0,0.01,0.0,0.01,3,0.0,5,66,126,3.0,48,0.4,0.1
200,kelapa muda daging + air,293,0.5,3.4,10.0,0.9,0.0,0.0,0.0,0.0,0.01,0.0,0.01,3,0.0,5,66,126,3.0,48,0.4,0.1
201,kelapa parutan,741,1.7,16.8,7.6,4.5,0.2,0.0,0.0,1.0,0.04,0.01,0.03,13,2.0,10,178,7,16.0,57,1.2,0.6
202,kelapa tua daging,1481,3.3,33.5,15.2,9.0,0.4,0.0,0.0,1.0,0.07,0.02,0.05,26,3.0,20,356,14,32.0,113,2.4,1.1
203,kelengkeng,331,1.2,0.2,20.2,2.2,0.1,0.0,4.0,1.0,0.02,0.04,0.08,2,69.0,3,250,21,10.0,23,0.5,0.1
204,kembang turi rebus belu,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
205,kenthos kelapa,1481,3.3,33.5,15.2,9.0,0.4,0.0,0.0,1.0,0.07,0.02,0.05,26,3.0,20,356,14,32.0,113,2.4,1.1
206,kepel,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
207,kesemek / buah genit,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
208,kluwih mentah,431,1.1,0.2,27.1,4.9,0.1,0.0,4.0,1.0,0.09,0.03,0.3,10,29.0,2,490,17,25.0,30,0.5,0.1
209,kokosan,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
210,kolang kaling,184,0.2,0.3,11.5,2.0,0.1,0.0,4.0,1.0,0.02,0.01,0.04,2,5.0,0,86,5,4.0,5,0.2,0.0
211,kulit melinjo,481,2.3,0.4,28.6,5.3,0.0,0.0,209.0,0.0,0.2,0.09,0.19,70,131.0,5,547,87,27.0,38,0.3,0.3
212,kurma,1167,3.0,0.5,73.6,3.7,0.1,0.0,1.0,1.0,0.15,0.08,0.23,3,3.0,11,698,46,31.0,90,2.0,0.3
213,langsat,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
214,mangga gedong / gadung,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
215,mangga golek,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
216,mangga harum manis,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
217,mangga indramayu,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
218,mangga keong masak,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
219,mangga kopek,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
220,mangga kopyor,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
221,mangga krasak,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
222,mangga kuweni,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
223,mangga masak,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
224,mangga muda,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
225,mangga nanas,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
226,mangga pakel,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
227,mangga sengir masak,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
228,mangga sepat,272,0.5,0.3,17.0,1.8,0.1,0.0,400.0,1.0,0.06,0.06,0.13,14,36.0,2,156,10,9.0,11,0.1,0.0
229,mangga telo,272,0.5,0.3,17.0,1.8,0.1,0.0,10.0,1.0,0.06,0.06,0.13,5,43.0,2,156,10,9.0,11,0.1,0.0
230,manggis,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
231,matuwa,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
232,melinjo (buah),197,0.9,0.1,11.8,2.4,0.0,0.0,8.0,0.0,0.09,0.04,0.06,30,53.0,0,181,40,10.0,14,0.1,0.1
233,menteng / kemundung,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
234,nanas,205,0.4,0.4,12.4,1.2,0.1,0.0,2.0,0.0,0.09,0.04,0.09,11,15.0,1,113,7,14.0,7,0.4,0.1
235,nangka masak di pohon,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
236,pepaya,163,0.6,0.1,9.8,1.8,0.0,0.0,135.0,1.0,0.03,0.03,0.02,38,62.0,3,257,24,10.0,5,0.1,0.1
237,pepaya muda mentah,92,1.0,0.4,4.5,2.8,0.2,0.0,13.0,0.0,0.06,0.06,0.11,20,20.0,8,97,31,8.0,15,0.2,0.1
238,pisang ambon,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
239,pisang ambon hong matang,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
240,pisang ambon mentah,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
241,pisang angle,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
242,pisang asem matang,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
243,pisang hijau,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
244,pisang jambe,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
245,pisang jeklek,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
246,pisang kapok gembrot,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
247,pisang kapok kuning,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
248,pisang kele,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
249,pisang kepok,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
250,pisang kepok bawen / suluh,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
251,pisang kepok bawen mentah,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
252,pisang kepok kuning mentah,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
253,pisang kepok putih mentah,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
254,pisang klutuk matang,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
255,pisang kreak matang,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
256,pisang mas,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
257,pisang potho,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
258,pisang potho mentah,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
259,pisang prasmen,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
260,pisang prasmen mentah,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
261,pisang pulut,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
262,pisang raja,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
263,pisang raja bandung,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
264,pisang raja bandung mentah,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
265,pisang raja kawista matang,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
266,pisang raja mentah / muda,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
267,pisang raja nangka matang,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
268,pisang raja nangka mentah,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
269,pisang raja sereh (susu),385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
270,pisang raja uli,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
271,pisang rama,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
272,pisang rayap matang,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
273,pisang santen,385,1.0,0.5,23.4,2.4,0.1,0.0,8.0,0.0,0.05,0.1,0.58,19,9.0,1,396,6,29.0,20,0.3,0.2
274,pisang siam,485,0.8,0.2,31.2,2.3,0.1,0.0,91.0,0.0,0.05,0.05,0.24,26,11.0,5,465,2,32.0,28,0.6,0.1
275,pondoh kelapa,54,1.0,0.2,2.1,1.4,0.1,0.0,33.0,0.0,0.05,0.03,0.04,56,4.0,9,158,19,9.0,20,0.5,0.2
276,rambutan,205,0.4,0.4,12.4,1.2,0.1,0.0,2.0,0.0,0.09,0.04,0.09,11,15.0,1,113,7,14.0,7,0.4,0.1
277,rambutan aceh,205,0.4,0.4,12.4,1.2,0.1,0.0,2.0,0.0,0.09,0.04,0.09,11,15.0,1,113,7,14.0,7,0.4,0.1
278,salak,343,0.2,0.4,21.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
279,santan (kelapa dan air),444,1.0,10.1,4.6,2.7,0.1,0.0,0.0,0.0,0.02,0.01,0.02,8,1.0,6,107,4,10.0,34,0.7,0.3
280,santan (kelapa saja),1481,3.3,33.5,15.2,9.0,0.4,0.0,0.0,1.0,0.07,0.02,0.05,26,3.0,20,356,14,32.0,113,2.4,1.1
281,sawo,347,0.3,0.6,21.4,3.8,0.1,0.0,7.0,1.0,0.03,0.01,0.07,4,8.0,0,161,10,7.0,10,0.3,0.0
282,sawo bludru,347,0.3,0.6,21.4,3.8,0.1,0.0,7.0,1.0,0.03,0.01,0.07,4,8.0,0,161,10,7.0,10,0.3,0.0
283,sawo duren,247,0.2,0.4,15.3,2.7,0.1,0.0,5.0,1.0,0.02,0.01,0.05,3,6.0,0,115,7,5.0,7,0.2,0.0
284,semangka,134,0.6,0.4,7.2,0.5,0.0,0.0,37.0,0.0,0.08,0.02,0.14,2,10.0,2,116,8,11.0,9,0.2,0.1
285,semangka muda,134,0.6,0.4,7.2,0.5,0.0,0.0,37.0,0.0,0.08,0.02,0.14,2,10.0,2,116,8,11.0,9,0.2,0.1
286,setup pepaya,163,0.6,0.1,9.8,1.8,0.0,0.0,135.0,1.0,0.03,0.03,0.02,38,62.0,3,257,24,10.0,5,0.1,0.1
287,sirsak,293,0.7,0.3,17.8,2.5,0.2,0.0,5.0,2.0,0.02,0.03,0.07,3,38.0,2,183,15,8.0,16,0.4,0.1
288,srikaya,331,1.2,0.2,20.2,2.2,0.1,0.0,4.0,1.0,0.02,0.04,0.08,2,69.0,3,250,21,10.0,23,0.5,0.1
289,sukun,431,1.1,0.2,27.1,4.9,0.1,0.0,4.0,1.0,0.09,0.03,0.3,10,29.0,2,490,17,25.0,30,0.5,0.1
290,talok / kersen,126,0.1,0.2,7.7,1.4,0.1,0.0,3.0,1.0,0.01,0.01,0.03,2,3.0,0,58,4,3.0,4,0.1,0.0
291,alpokat,674,2.0,15.3,7.4,5.9,2.0,0.0,6.0,1.0,0.11,0.12,0.28,62,8.0,10,599,11,39.0,41,1.0,0.4
292,asparagus putih segar,54,1.0,0.2,2.1,1.4,0.1,0.0,33.0,0.0,0.05,0.03,0.04,56,4.0,9,158,19,9.0,20,0.5,0.2
293,bawang merah,184,1.4,0.2,10.2,1.4,0.1,0.0,0.0,0.0,0.04,0.02,0.13,15,5.0,3,166,22,11.0,35,0.2,0.2
294,bawang putih,368,2.8,0.4,20.4,2.8,0.2,0.0,0.0,0.0,0.08,0.04,0.26,30,10.0,6,332,44,22.0,70,0.4,0.4
295,bayam merah,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
296,bayam segar,155,3.7,0.2,7.3,0.6,0.1,0.0,519.0,0.0,0.09,0.19,0.54,104,33.0,11,550,211,62.0,72,3.1,0.4
297,bengkuang,184,1.4,0.2,10.2,1.4,0.1,0.0,0.0,0.0,0.04,0.02,0.13,15,5.0,3,166,22,11.0,35,0.2,0.2
298,bening bayam belu,33,1.0,0.1,1.3,0.8,0.0,0.0,270.0,0.0,0.03,0.08,0.08,48,3.0,23,154,45,29.0,18,1.2,0.3
299,bening selada air and kangkung belu,1377,3.9,14.8,48.0,2.5,3.8,13.0,98.0,1.0,0.1,0.22,0.14,41,20.0,57,243,133,17.0,102,0.4,0.5
300,bening selada air belu,88,1.0,0.4,4.3,2.7,0.2,0.0,12.0,0.0,0.06,0.06,0.1,19,19.0,8,92,29,8.0,14,0.2,0.1
301,tekokak,167,1.8,0.6,8.6,2.8,0.2,0.0,58.0,0.0,0.08,0.08,0.14,40,12.0,2,384,54,48.0,78,0.8,0.8
302,terong putih mentah,117,0.8,0.2,6.6,2.5,0.1,0.0,6.0,0.0,0.08,0.02,0.09,14,1.0,3,248,6,13.0,22,0.4,0.2
303,terong belanda / ungu,117,0.8,0.2,6.6,2.5,0.1,0.0,6.0,0.0,0.08,0.02,0.09,14,1.0,3,248,6,13.0,22,0.4,0.2
304,tumis bayam and sawi belu,393,1.2,10.1,1.2,1.0,0.2,0.0,182.0,1.0,0.02,0.04,0.06,41,12.0,11,117,41,12.0,21,0.7,0.1
305,tomat muda,88,0.9,0.3,4.6,1.1,0.1,0.0,87.0,0.0,0.06,0.05,0.08,15,19.0,9,222,5,11.0,24,0.5,0.1
306,tumis buah pepaya muda belu,188,0.4,2.1,7.0,1.3,0.0,0.0,96.0,1.0,0.02,0.02,0.01,27,44.0,2,182,17,7.0,4,0.1,0.1
307,tumis bayam and sawi and timun belu,259,1.3,6.1,1.7,1.1,0.1,0.0,168.0,1.0,0.03,0.04,0.07,40,12.0,10,140,41,13.0,25,0.7,0.2
308,tumis buah labu waluh belu,130,0.1,3.1,1.2,0.4,0.1,0.0,56.0,0.0,0.01,0.0,0.01,4,1.0,0,61,2,1.0,3,0.0,0.0
309,tumis bayam belu,276,0.7,7.1,0.9,0.6,0.2,0.0,197.0,0.0,0.02,0.06,0.06,35,2.0,17,112,33,21.0,13,0.9,0.2
310,tomat masak,88,0.9,0.3,4.6,1.1,0.1,0.0,87.0,0.0,0.06,0.05,0.08,15,19.0,9,222,5,11.0,24,0.5,0.1
311,tumis pucuk labu waluh belu,188,0.1,5.0,0.5,0.3,0.1,0.0,61.0,0.0,0.01,0.01,0.02,13,3.0,3,22,15,2.0,3,0.1,0.0
312,tumis daun singkong belu,197,3.0,2.2,5.8,0.5,0.1,0.0,415.0,0.0,0.07,0.15,0.43,83,26.0,9,440,169,50.0,58,2.5,0.3
313,tumis kangkung belu,385,2.2,9.2,2.0,1.9,0.2,0.0,288.0,2.0,0.04,0.06,0.1,69,24.0,15,192,70,14.0,39,1.0,0.2
314,tumis selada air belu,816,0.4,22.1,0.8,0.6,0.4,0.0,13.0,0.0,0.02,0.01,0.02,22,2.0,4,63,8,4.0,8,0.2,0.1
315,tumis kacang panjang belu,88,0.7,1.1,2.8,1.2,0.1,0.0,24.0,0.0,0.03,0.04,0.02,12,4.0,1,108,17,9.0,14,0.5,0.1
316,tumis selada air kangkung,222,0.9,5.1,1.5,1.1,0.1,0.0,56.0,0.0,0.03,0.02,0.04,42,5.0,7,117,20,7.0,17,0.4,0.1
317,tumis sawi,117,1.7,2.1,1.6,1.5,0.0,0.0,224.0,2.0,0.03,0.04,0.08,54,19.0,12,149,55,11.0,30,0.8,0.1
318,tumis terong belu,100,0.7,0.2,5.7,2.2,0.1,0.0,5.0,0.0,0.07,0.02,0.08,12,1.0,3,213,5,11.0,19,0.3,0.2
319,blusdru,84,0.9,0.3,4.3,1.4,0.1,0.0,29.0,0.0,0.04,0.04,0.07,20,6.0,1,192,27,24.0,39,0.4,0.4
320,uceng,351,5.4,0.2,15.6,5.5,0.1,0.0,60.0,0.0,0.26,0.15,0.22,63,14.0,3,271,27,39.0,117,1.5,1.2
321,waluh kuning mentah,84,0.5,0.3,4.4,1.4,0.2,0.0,201.0,0.0,0.05,0.01,0.04,14,5.0,1,219,7,4.0,10,0.2,0.2
322,waluh beligo,84,0.9,0.3,4.3,1.4,0.1,0.0,29.0,0.0,0.04,0.04,0.07,20,6.0,1,192,27,24.0,39,0.4,0.4
323,buncis mentah,146,1.9,0.3,7.9,3.2,0.1,0.0,67.0,0.0,0.07,0.1,0.06,33,10.0,3,299,46,25.0,39,1.3,0.4
324,bunga bawang merah,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
325,bunga krandan,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
326,cabe merah,113,1.0,0.3,5.8,1.7,0.1,0.0,471.0,1.0,0.04,0.03,0.23,16,146.0,15,141,9,11.0,19,0.4,0.1
327,cabe rawit,1331,12.0,17.3,56.6,25.0,8.4,0.0,4161.0,1.0,0.33,0.92,1.88,88,76.0,30,2014,148,152.0,293,7.8,2.5
328,cesim,63,2.3,0.2,2.1,2.0,0.0,0.0,303.0,2.0,0.04,0.06,0.11,73,25.0,16,202,74,15.0,41,1.1,0.2
329,curing / kenikir,84,1.1,0.2,4.4,3.1,0.1,0.0,550.0,2.0,0.05,0.07,0.18,118,27.0,29,203,137,22.0,29,0.8,0.1
330,daun bawang,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
331,daun bawang merah,88,1.2,0.7,5.0,2.4,0.4,0.0,96.0,1.0,0.02,0.02,0.05,40,7.0,6,150,20,2.0,32,0.7,0.2
